ticker,name,provider,asset_class,mer,distribution_yield,risk_rating,currency,tracking_index,inception_date,aum_millions,management_fee,perf_1y,perf_3y,perf_5y,perf_since_inception,sector_1_label,sector_1_weight,sector_2_label,sector_2_weight,sector_3_label,sector_3_weight,holding_1_label,holding_1_weight,holding_2_label,holding_2_weight,holding_3_label,holding_3_weight,holding_4_label,holding_4_weight,holding_5_label,holding_5_weight
PDC,Invesco Canadian Dividend Index ETF,Invesco,Equity,0.25,3.49,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
CQLU,CIBC Qx U.S. Low Volatility Dividend ETF,CIBC,Equity,0.25,1.66,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
VGH,Vanguard U.S. Dividend Appreciation Index ETF (CAD-hedged),Vanguard,Equity,0.25,1.12,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
CGL.C,iShares Gold Bullion ETF,iShares,Equity,0.25,0.0,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
MKB,Mackenzie Canadian Strategic Fixed Income ETF,Mackenzie,Fixed Income,0.25,3.73,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
HPR,Global X Active Preferred Share ETF,Global X,Fixed Income,0.25,4.58,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
BANK,Evolve Canadian Banks and Lifecos Enhanced Yield Index Fund,Evolve,Equity,0.25,14.04,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
QAH,Mackenzie US Large Cap Equity Index ETF (CAD-Hedged),Mackenzie,Equity,0.25,0.72,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
TQGM,TD Q Global Multifactor ETF,TD,Equity,0.25,1.31,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
CLG,iShares 1-10 Year Laddered Government Bond Index ETF,iShares,Fixed Income,0.25,2.52,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
FCCQ,Fidelity Canadian High Quality ETF,Fidelity,Equity,0.25,1.32,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
DXG,Dynamic Active Global Dividend ETF,Dynamic,Equity,0.25,0.0,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
BTCC.B,Purpose Bitcoin ETF,Purpose,Equity,0.25,0.0,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
DGRC,CI Canada Quality Dividend Growth Index ETF,CI,Equity,0.25,2.33,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
